Context,ID,Text,Comments
Frontend,BE_technology_ice_purification_plant_name,Ice Treatment,
Frontend,BE_technology_ice_purification_plant_name_2,Improved Ice Treatment,
Frontend,BE_building_ice_purification_plant_name,Ice Treatment Complex,
Frontend,BE_building_ice_purification_plant_name_2,Improved Ice Treatment Complex,
Frontend,BE_building_ice_purification_plant_name_3,Ice Refinery,
Frontend,BE_technology_ice_purification_plant_desc,A compact facility combining an ice mine and a small water refinery. Provides purified water to nearby colonies.,
Frontend,BE_technology_ice_purification_plant_desc_2,"An advanced complex with an ice mine and full water refinery. Processes more ice per cycle, increasing water output.",
Frontend,BE_building_ice_purification_plant_desc,A compact facility combining an ice mine and a small water refinery. Provides purified water to nearby colonies.,
Frontend,BE_building_ice_purification_plant_desc_2,"An improved facility with a larger ice mine and full water refinery. Higher water output per cycle.",
Frontend,BE_building_ice_purification_plant_desc_3,A large-scale ice refinery serving established colonies. Highest water production per cycle.,
Frontend,BE_technology_food_factory_3_name,Superior Food Processing,
Frontend,BE_technology_food_factory_3_desc,"Industrial-scale food factory yielding maximum rations per cycle. Builds on crater farming techniques for optimized nutrient production.",
Frontend,BE_building_crater_lake_name,Crater Lake,
Frontend,BE_building_crater_lake_desc,"A flooded crater reservoir fed by the pipe network. Consumes large amounts of water and electricity to slowly humidify the local atmosphere, raising planetary water vapor when Mars is warm enough for liquid water.",
Frontend,BE_building_water_hub_2_name,Water Booster Pump,
Frontend,BE_building_water_hub_2_desc,An advanced water distribution pump extending the pipe network up to 500m — double the range of a standard water hub. Requires power to operate.,
Frontend,BE_technology_terraforming_oxygen_release_plant_name_2,Improved Oxygen Release Plant,
Frontend,BE_technology_terraforming_oxygen_release_plant_description_2,"High-efficiency oxygen release facility. Consumes more power and piped water, but releases 2.5× more O₂ into the atmosphere per cycle.",
Frontend,BE_technology_terraforming_oxygen_release_plant_name_3,Advanced Oxygen Release Plant,
Frontend,BE_technology_terraforming_oxygen_release_plant_description_3,"Large-scale atmospheric oxygenation plant. Maximum O₂ output for accelerated terraforming — requires substantial power and water pipe infrastructure.",
Frontend,BE_popup_missing_waterworkfix_title,WaterWork: Companion Mod Missing,
Frontend,BE_popup_missing_waterworkfix_subtitle,Installation Required,
Frontend,BE_popup_missing_waterworkfix_desc,"The WaterWork mod requires the WaterWorkFix C# companion to function correctly. Without it: Ice Treatment plants will not consume water veins or gate pipes; water mines and ice plants will not contribute to planetary water stock. Install WaterWorkFix.dll and the Per Aspera SDK DLLs in BepInEx/plugins/ — see the mod page for instructions.",
Frontend,BE_popup_missing_waterworkfix_btn,OK,
